location,count,crime_type
HIMACHAL PRADESH,648.0,rape
JAMMU & KASHMIR,110.0,rape
JHARKHAND,943.0,rape
KARNATAKA,3413.0,rape
KERALA,4288.0,rape
MADHYA PRADESH,7155.0,rape
MAHARASHTRA,20940.0,rape
MANIPUR,4.0,rape
MEGHALAYA,3.0,rape
MIZORAM,0.0,rape
NAGALAND,0.0,rape
ODISHA,1972.0,rape
PUNJAB,2746.0,rape
RAJASTHAN,7082.0,rape
SIKKIM,0.0,rape
TAMIL NADU,1545.0,rape
TRIPURA,252.0,rape
UTTAR PRADESH,19827.0,rape
UTTARAKHAND,746.0,rape
WEST BENGAL,6645.0,rape
TOTAL (STATES),108207.0,rape
A & N ISLANDS,7.0,rape
CHANDIGARH,33.0,rape
D & N HAVELI,4.0,rape
DAMAN & DIU,13.0,rape
DELHI,1200.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,3.0,rape
TOTAL (UTs),1260.0,rape
TOTAL (ALL-INDIA),109467.0,rape
ANDHRA PRADESH,6.0,rape
ARUNACHAL PRADESH,0.0,rape
ASSAM,0.0,rape
BIHAR,179.0,rape
CHHATTISGARH,0.0,rape
GOA,0.0,rape
GUJARAT,0.0,rape
HARYANA,0.0,rape
HIMACHAL PRADESH,0.0,rape
JAMMU & KASHMIR,0.0,rape
JHARKHAND,8.0,rape
KARNATAKA,0.0,rape
KERALA,0.0,rape
MADHYA PRADESH,0.0,rape
MAHARASHTRA,11.0,rape
MANIPUR,0.0,rape
MEGHALAYA,0.0,rape
MIZORAM,0.0,rape
NAGALAND,0.0,rape
ODISHA,0.0,rape
PUNJAB,0.0,rape
RAJASTHAN,2.0,rape
SIKKIM,0.0,rape
TAMIL NADU,12.0,rape
TRIPURA,0.0,rape
UTTAR PRADESH,0.0,rape
UTTARAKHAND,0.0,rape
WEST BENGAL,2.0,rape
TOTAL (STATES),220.0,rape
A & N ISLANDS,0.0,rape
CHANDIGARH,0.0,rape
D & N HAVELI,0.0,rape
DAMAN & DIU,0.0,rape
DELHI,0.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,0.0,rape
TOTAL (UTs),0.0,rape
TOTAL (ALL-INDIA),220.0,rape
ANDHRA PRADESH,1860.0,rape
ARUNACHAL PRADESH,0.0,rape
ASSAM,6.0,rape
BIHAR,168.0,rape
CHHATTISGARH,36.0,rape
GOA,101.0,rape
GUJARAT,390.0,rape
HARYANA,93.0,rape
HIMACHAL PRADESH,5.0,rape
JAMMU & KASHMIR,16.0,rape
JHARKHAND,2.0,rape
KARNATAKA,2325.0,rape
KERALA,410.0,rape
MADHYA PRADESH,105.0,rape
MAHARASHTRA,976.0,rape
MANIPUR,11.0,rape
MEGHALAYA,0.0,rape
MIZORAM,11.0,rape
NAGALAND,1.0,rape
ODISHA,95.0,rape
PUNJAB,120.0,rape
RAJASTHAN,218.0,rape
SIKKIM,0.0,rape
TAMIL NADU,5331.0,rape
TRIPURA,0.0,rape
UTTAR PRADESH,125.0,rape
UTTARAKHAND,0.0,rape
WEST BENGAL,157.0,rape
TOTAL (STATES),12562.0,rape
A & N ISLANDS,0.0,rape
CHANDIGARH,9.0,rape
D & N HAVELI,0.0,rape
DAMAN & DIU,27.0,rape
DELHI,136.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,89.0,rape
TOTAL (UTs),261.0,rape
TOTAL (ALL-INDIA),12823.0,rape
ANDHRA PRADESH,1042.0,rape
ARUNACHAL PRADESH,0.0,rape
ASSAM,197.0,rape
BIHAR,2501.0,rape
CHHATTISGARH,17.0,rape
GOA,0.0,rape
GUJARAT,0.0,rape
HARYANA,0.0,rape
HIMACHAL PRADESH,29.0,rape
JAMMU & KASHMIR,2.0,rape
JHARKHAND,855.0,rape
KARNATAKA,520.0,rape
KERALA,3.0,rape
MADHYA PRADESH,97.0,rape
MAHARASHTRA,39.0,rape
MANIPUR,0.0,rape
MEGHALAYA,0.0,rape
MIZORAM,0.0,rape
NAGALAND,0.0,rape
ODISHA,526.0,rape
PUNJAB,0.0,rape
RAJASTHAN,7.0,rape
SIKKIM,0.0,rape
TAMIL NADU,66.0,rape
TRIPURA,0.0,rape
UTTAR PRADESH,1119.0,rape
UTTARAKHAND,7.0,rape
WEST BENGAL,8.0,rape
TOTAL (STATES),7035.0,rape
A & N ISLANDS,0.0,rape
CHANDIGARH,0.0,rape
D & N HAVELI,0.0,rape
DAMAN & DIU,0.0,rape
DELHI,19.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,2.0,rape
TOTAL (UTs),21.0,rape
TOTAL (ALL-INDIA),7056.0,rape
ANDHRA PRADESH,509.0,rape
ARUNACHAL PRADESH,0.0,rape
ASSAM,1.0,rape
BIHAR,42.0,rape
CHHATTISGARH,0.0,rape
GOA,0.0,rape
GUJARAT,0.0,rape
HARYANA,0.0,rape
HIMACHAL PRADESH,0.0,rape
JAMMU & KASHMIR,0.0,rape
JHARKHAND,0.0,rape
KARNATAKA,0.0,rape
KERALA,50.0,rape
MADHYA PRADESH,0.0,rape
MAHARASHTRA,18.0,rape
MANIPUR,0.0,rape
MEGHALAYA,0.0,rape
MIZORAM,0.0,rape
NAGALAND,0.0,rape
ODISHA,0.0,rape
PUNJAB,1.0,rape
RAJASTHAN,52.0,rape
SIKKIM,0.0,rape
TAMIL NADU,11.0,rape
TRIPURA,0.0,rape
UTTAR PRADESH,6.0,rape
UTTARAKHAND,0.0,rape
WEST BENGAL,0.0,rape
TOTAL (STATES),690.0,rape
A & N ISLANDS,0.0,rape
CHANDIGARH,0.0,rape
D & N HAVELI,0.0,rape
DAMAN & DIU,0.0,rape
DELHI,4.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,0.0,rape
TOTAL (UTs),4.0,rape
TOTAL (ALL-INDIA),694.0,rape
ANDHRA PRADESH,0.0,rape
ARUNACHAL PRADESH,0.0,rape
ASSAM,0.0,rape
BIHAR,0.0,rape
CHHATTISGARH,0.0,rape
GOA,0.0,rape
GUJARAT,0.0,rape
HARYANA,0.0,rape
HIMACHAL PRADESH,0.0,rape
JAMMU & KASHMIR,0.0,rape
JHARKHAND,0.0,rape
KARNATAKA,0.0,rape
KERALA,0.0,rape
MADHYA PRADESH,0.0,rape
MAHARASHTRA,0.0,rape
MANIPUR,0.0,rape
MEGHALAYA,0.0,rape
MIZORAM,0.0,rape
NAGALAND,0.0,rape
ODISHA,0.0,rape
PUNJAB,0.0,rape
RAJASTHAN,0.0,rape
SIKKIM,0.0,rape
TAMIL NADU,0.0,rape
TRIPURA,0.0,rape
UTTAR PRADESH,0.0,rape
UTTARAKHAND,0.0,rape
WEST BENGAL,0.0,rape
TOTAL (STATES),0.0,rape
A & N ISLANDS,0.0,rape
CHANDIGARH,0.0,rape
D & N HAVELI,0.0,rape
DAMAN & DIU,0.0,rape
DELHI,0.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,0.0,rape
TOTAL (UTs),0.0,rape
TOTAL (ALL-INDIA),0.0,rape
ANDHRA PRADESH,22218.0,rape
ARUNACHAL PRADESH,218.0,rape
ASSAM,5497.0,rape
BIHAR,13034.0,rape
CHHATTISGARH,5312.0,rape
GOA,186.0,rape
GUJARAT,13464.0,rape
HARYANA,5845.0,rape
HIMACHAL PRADESH,1372.0,rape
JAMMU & KASHMIR,2424.0,rape
JHARKHAND,3750.0,rape
KARNATAKA,9819.0,rape
KERALA,8076.0,rape
MADHYA PRADESH,22308.0,rape
MAHARASHTRA,30600.0,rape
MANIPUR,102.0,rape
MEGHALAYA,54.0,rape
MIZORAM,138.0,rape
NAGALAND,38.0,rape
ODISHA,7455.0,rape
PUNJAB,4664.0,rape
RAJASTHAN,13831.0,rape
SIKKIM,24.0,rape
TAMIL NADU,14116.0,rape
TRIPURA,590.0,rape
UTTAR PRADESH,42283.0,rape
UTTARAKHAND,1436.0,rape
WEST BENGAL,11114.0,rape
TOTAL (STATES),239968.0,rape
A & N ISLANDS,34.0,rape
CHANDIGARH,174.0,rape
D & N HAVELI,24.0,rape
DAMAN & DIU,42.0,rape
DELHI,3124.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,223.0,rape
TOTAL (UTs),3621.0,rape
TOTAL (ALL-INDIA),243589.0,rape
Andhra Pradesh,2013.0,murder
Andhra Pradesh,2013.0,murder
Andhra Pradesh,2013.0,murder
Arunachal Pradesh,2013.0,murder
Arunachal Pradesh,2013.0,murder
Arunachal Pradesh,2013.0,murder
Assam,2013.0,murder
Assam,2013.0,murder
Assam,2013.0,murder
Bihar,2013.0,murder
Bihar,2013.0,murder
Bihar,2013.0,murder
Chhattisgarh,2013.0,murder
Chhattisgarh,2013.0,murder
Chhattisgarh,2013.0,murder
Goa,2013.0,murder
Goa,2013.0,murder
Goa,2013.0,murder
Gujarat,2013.0,murder
Gujarat,2013.0,murder
Gujarat,2013.0,murder
Haryana,2013.0,murder
Haryana,2013.0,murder
Haryana,2013.0,murder
Himachal Pradesh,2013.0,murder
Himachal Pradesh,2013.0,murder
Himachal Pradesh,2013.0,murder
Jammu & Kashmir,2013.0,murder
Jammu & Kashmir,2013.0,murder
Jammu & Kashmir,2013.0,murder
Jharkhand,2013.0,murder
Jharkhand,2013.0,murder
Jharkhand,2013.0,murder
Karnataka,2013.0,murder
Karnataka,2013.0,murder
Karnataka,2013.0,murder
Kerala,2013.0,murder
Kerala,2013.0,murder
Kerala,2013.0,murder
Madhya Pradesh,2013.0,murder
Madhya Pradesh,2013.0,murder
Madhya Pradesh,2013.0,murder
Maharashtra,2013.0,murder
Maharashtra,2013.0,murder
Maharashtra,2013.0,murder
Manipur,2013.0,murder
Manipur,2013.0,murder
Manipur,2013.0,murder
Meghalaya,2013.0,murder
Meghalaya,2013.0,murder
Meghalaya,2013.0,murder
Mizoram,2013.0,murder
Mizoram,2013.0,murder
Mizoram,2013.0,murder
Nagaland,2013.0,murder
Nagaland,2013.0,murder
Nagaland,2013.0,murder
Odisha,2013.0,murder
Odisha,2013.0,murder
Odisha,2013.0,murder
Punjab,2013.0,murder
Punjab,2013.0,murder
Punjab,2013.0,murder
Rajasthan,2013.0,murder
Rajasthan,2013.0,murder
Rajasthan,2013.0,murder
Sikkim,2013.0,murder
Sikkim,2013.0,murder
Sikkim,2013.0,murder
Tamil Nadu,2013.0,murder
Tamil Nadu,2013.0,murder
Tamil Nadu,2013.0,murder
Tripura,2013.0,murder
Tripura,2013.0,murder
Tripura,2013.0,murder
Uttar Pradesh,2013.0,murder
Uttar Pradesh,2013.0,murder
Uttar Pradesh,2013.0,murder
Uttarakhand,2013.0,murder
Uttarakhand,2013.0,murder
Uttarakhand,2013.0,murder
West Bengal,2013.0,murder
West Bengal,2013.0,murder
West Bengal,2013.0,murder
A&N Islands,2013.0,murder
A&N Islands,2013.0,murder
A&N Islands,2013.0,murder
Chandigarh,2013.0,murder
Chandigarh,2013.0,murder
Chandigarh,2013.0,murder
D&N Haveli,2013.0,murder
D&N Haveli,2013.0,murder
D&N Haveli,2013.0,murder
Daman & Diu,2013.0,murder
Daman & Diu,2013.0,murder
Daman & Diu,2013.0,murder
Delhi UT,2013.0,murder
Delhi UT,2013.0,murder
Delhi UT,2013.0,murder
Lakshadweep,2013.0,murder
Lakshadweep,2013.0,murder
Lakshadweep,2013.0,murder
Puducherry,2013.0,murder
Puducherry,2013.0,murder
Puducherry,2013.0,murder
Andhra Pradesh,2013.0,abduction
Arunachal Pradesh,2013.0,abduction
Assam,2013.0,abduction
Bihar,2013.0,abduction
Chhattisgarh,2013.0,abduction
Goa,2013.0,abduction
Gujarat,2013.0,abduction
Haryana,2013.0,abduction
Himachal Pradesh,2013.0,abduction
Jammu & Kashmir,2013.0,abduction
Jharkhand,2013.0,abduction
Karnataka,2013.0,abduction
Kerala,2013.0,abduction
Madhya Pradesh,2013.0,abduction
Maharashtra,2013.0,abduction
Manipur,2013.0,abduction
Meghalaya,2013.0,abduction
Mizoram,2013.0,abduction
Nagaland,2013.0,abduction
Odisha,2013.0,abduction
Punjab,2013.0,abduction
Rajasthan,2013.0,abduction
Sikkim,2013.0,abduction
Tamil Nadu,2013.0,abduction
Tripura,2013.0,abduction
Uttar Pradesh,2013.0,abduction
Uttarakhand,2013.0,abduction
West Bengal,2013.0,abduction
A&N Islands,2013.0,abduction
Chandigarh,2013.0,abduction
D&N Haveli,2013.0,abduction
Daman & Diu,2013.0,abduction
Delhi UT,2013.0,abduction
Lakshadweep,2013.0,abduction
Puducherry,2013.0,abduction
Agra,336.0,accident
Ahmedabad,222.0,accident
Asansol-Durgapur,229.0,accident
Aurangabad,161.0,accident
Bengaluru,689.0,accident
Bhopal,275.0,accident
Coimbatore,253.0,accident
Delhi,2007.0,accident
Dhanbad,74.0,accident
Faridabad,229.0,accident
Ghaziabad,495.0,accident
Gwalior,233.0,accident
Hyderabad,428.0,accident
Indore,407.0,accident
Jaipur,387.0,accident
Jabalpur,239.0,accident
Jamshedpur,189.0,accident
Jodhpur,236.0,accident
Kochi,171.0,accident
Kolkata,396.0,accident
Kollam,209.0,accident
Kota,102.0,accident
Kannur,52.0,accident
Lucknow,493.0,accident
Ludhiana,260.0,accident
Madurai,123.0,accident
Mallapuram,290.0,accident
Mumbai,539.0,accident
Meerut,321.0,accident
Nagpur,227.0,accident
